Year,Bilinen_Beklenen_Carpisma,Bilinen_Kumulatif_Olasilik,Tehdit_Eden_Nesne_Sayisi,Projekte_Kesif_Hizi,Tehlike_Skoru
2052,285.23483373403985,0.00021718741897713793,237.0,59.57852931668317,45.78408568694162
2053,291.71391487799167,0.0002352753125890877,241.0,0.0,31.73143982744569
2054,292.92489985923703,0.00023579363244612237,246.0,58.74642820354799,46.65664943808739
2055,296.50305856604774,0.00024703794632094785,253.0,0.0,32.66172070362644
2056,300.8777142214133,0.0002589945311997269,261.0,57.604938933479296,47.76061537559835
2057,298.7945329789939,0.00025768855265304795,263.0,0.0,33.33285996440738
2058,301.25825324306174,0.0002629874014956956,269.0,56.18399189187616,47.7962300993702
2059,300.8298554333191,0.00024188273491018857,271.0,0.0,33.613529172576094
2060,306.2417971232928,0.00022849376385331935,278.0,54.513581084899386,47.69034359697882
2061,305.1339581623124,0.0002612045064237845,281.0,0.0,34.51523543834433
2062,307.97441125760423,0.0002660756178510669,287.0,52.62351609727756,48.111814882472274
2063,306.9813282536516,0.00024710297661259523,287.0,0.0,34.72224997126012
2064,306.27132825365163,0.00024491682661259524,288.0,50.54319784379397,47.28507309582367
2065,307.99553031358585,0.00024639261293099107,292.0,0.0,34.98210821483401
2066,310.14086409457184,0.00025345648696927853,297.0,48.30141683669927,47.43958577600704
2067,314.3100211629936,0.00025727233408294914,301.0,0.0,35.884471674863086
2068,313.07500766679397,0.0002612180115995138,304.0,45.92617294107533,47.409741777160455
2069,321.24591689524254,0.00034477716228795217,312.0,0.0,37.75799553003758
2070,323.6607557600814,0.00035745503568235167,322.0,43.4445157461169,49.28546837025919
2071,327.4652341367979,0.000423023881736664,327.0,0.0,39.64100282844352
2072,331.9272787487414,0.0004296932701914852,336.0,40.882404769309034,50.56014308163643
2073,336.0717651703945,0.0006872654685322634,341.0,0.0,43.70585146107091
2074,337.38948031946694,0.0006885713741295845,345.0,38.26458875258189,53.5032054500209
2075,340.74148892097816,0.0007260618592786021,348.0,0.0,44.72792098030402
2076,342.2119719467243,0.0007316915408163625,352.0,35.61450331959692,53.92306704677785
2077,344.03910446333055,0.000738451659463242,353.0,0.0,45.285542084771336
2078,343.6428316834257,0.0007337274778284925,353.0,32.95418625238689,53.41830026764961
2079,349.490558956153,0.0007384868896264723,355.0,0.0,45.730016935058856
2080,351.2235576825411,0.0007394217799007527,355.0,30.304209621781887,53.40740474997839
2081,350.58512475381406,0.0007418955736215743,357.0,0.0,45.92091653435267
2082,351.3772556213126,0.0007415360196193674,358.0,27.68362797538665,52.90811029011233
2083,353.0493467576894,0.0007416959429024335,359.0,0.0,46.163279975243825
2084,355.86337524624355,0.0007612350018820782,363.0,25.109941753693303,52.9848378680299
2085,358.16015089696026,0.0007166112708364385,367.0,0.0,46.546461457344684
2086,358.59643506256975,0.0007228180694029245,375.0,22.599075072355596,52.59571868938945
2087,357.834099702894,0.0007277073953063355,373.0,0.0,46.88772517532552
2088,355.5562960869822,0.0007179225674569543,369.0,20.16536697893774,51.49195665123424
2089,354.6876310554217,0.0007156502361613105,369.0,0.0,46.383887156643524
2090,355.5468835836714,0.0007145339342499785,368.0,17.821575267107384,50.82972111325515
2091,356.49595734272964,0.0007235715662641769,370.0,1.9945869186636278,47.1295112098987
2092,358.62889593922085,0.0007268412366150541,374.0,15.57889191127077,50.853190480541386
2093,359.7221941073532,0.0007203640318834847,371.0,4.182966100954803,47.89471974394331
2094,358.51716239487956,0.0006737198035536749,370.0,13.446969170653043,49.56545227856926
2095,361.7837689821874,0.003772126735318729,369.0,6.256334164724177,82.30857763290254
2096,362.99567374409213,0.003773617091033015,372.0,11.433955404112968,83.81621533643334
2097,361.1973183957368,0.0037791193234540197,368.0,8.207276177554393,82.79308872106847
2098,364.14030482107614,0.0037741362517798114,373.0,9.546539635627045,83.46810702734679
2099,365.61905325436067,0.0037799074532701917,371.0,10.029811870407041,83.67128470879864
2100,371.62140187090415,0.003785280417920344,375.0,7.790003915289995,83.7336184259858
2101,374.326494592818,0.0040582520314306186,371.0,11.719339581897342,87.76025488923807
2102,373.50574236917475,0.003794397111155125,369.0,6.16828253163618,83.31645310213392
2103,373.89848781037915,0.00379383262933503,367.0,13.272573856310103,85.02668938329911
2104,373.53553270937346,0.0038482586499311313,359.0,4.684027147773357,83.14583679376717
2105,371.1322031957498,0.0038093957703734856,355.0,14.687477602544407,84.88708008038573
2106,367.89735208830564,0.003796948373693011,345.0,3.3386769558514082,81.30508908688051
2107,368.2965038246717,0.003791990735773337,337.0,15.96318969917678,84.10258246763918
2108,362.521306300919,0.003796145744732586,322.0,2.1325329713298613,79.71659118320486
2109,360.05539708254787,0.003792335534378594,315.0,17.09994890350396,82.95927069263998
2110,362.339414707482,0.0038072077534867126,298.0,1.0648356198918236,78.60105299467419
2111,352.9507550600125,0.003560286722758979,279.0,18.09901489041271,78.72064811422237
2112,347.39627916724567,0.0035444530681319137,257.0,0.13384480519067843,72.81750485807977
2113,315.9031453129527,0.003526256371038338,231.0,18.962587210843164,74.164204602589
2114,284.0392715002536,0.003475208500656594,190.0,0.0,65.10493328081442
2115,163.79421983619184,0.0033701428879509493,115.0,19.69372292005636,57.81648326491423
2116,37.83775000759454,7.636131114725959e-05,20.0,0.0,4.173789054926998
2117,0.9183673469387755,3.2653061224489795e-08,1.0,20.296253583452568,5.159168889546344
2118,0.0,0.0,0.0,0.0,0.0
2119,0.0,0.0,0.0,20.774702322857145,5.176693243406051
2120,0.0,0.0,0.0,0.0,0.0
2121,0.0,0.0,0.0,21.13420151951042,5.266274168966527
2122,0.0,0.0,0.0,0.0,0.0
2123,0.0,0.0,0.0,21.380411741957936,5.327625459357786
2124,0.0,0.0,0.0,0.0,0.0
2125,0.0,0.0,0.0,21.519442418099842,5.362269477386295
2126,0.0,0.0,0.0,0.0,0.0
